de
a
que
o
e
harry_potter
se
não
para
um
com
uma
os
em
ele
da
do
é
disse
você
no
mas
por
rony_weasley
na
as
mais
hermione_granger
ao
estava
como
eu
à
quando
sua
seu
foi
ela
era
muito
dos
alvo_dumbledore
está
me
então
bem
das
isso
perguntou
agora
eles
coisa
olhos
lhe
ter
vez
seus
rubeo_hagrid
voz
sem
pelo
já
varinha
severo_snape
cabeça
até
tinha
ainda
nos
ser
weasley
dois
depois
sobre
respondeu
lo
draco_malfoy
sala
porta
lado
todos
tem
só
vai
pela
fazer
ou
quem
parecia
rosto
dizer
ah
mesmo
tempo
dele
aqui
havia
nada
garoto
vocês
voldemort
estavam
antes
tão
viu
ver
mão
onde
alguma
senhor
sabe
sr
porque
fora
nem
tudo
também
enquanto
sirius
meu
fez
vamos
nunca
noite
bom
suas
casa
tinham
olhar
deu
minha
lá
hogwarts
exclamou
acho
grande
fred_weasley
pode
pouco
outra
chão
aos
nas
quase
alguém
cima
três
ficou
tivesse
estou
ar
embora
sei
momento
melhor
olhou
talvez
todo
hora
fazendo
sra
frente
entre
estar
jorge_weasley
vou
outro
morte
gina
às
mesa
ninguém
lugar
poderia
professor
sempre
neville_longbottom
lupin
dia
volta
escola
contra
bruxo
fosse
realmente
sabia
ali
la
mãos
magia
ouviu
falar
dar
cada
meio
começou
alto
pessoas
teria
gente
ia
alunos
saiu
assim
tenho
depressa
menos
dentro
há
olhando
primeiro
claro
direção
minerva_mcgonagall
virou
sido
quer
grifinória
certeza
outros
quero
tentando
cara
ministério
costas
capa
deles
umbridge
atrás
ano
boca
tornou
estão
cabelos
sentiu
queria
são
saber
gritou
nós
anos
pai
apenas
isto
ficar
professora
essa
será
falou
abriu
ergueu
quanto
teve
bruxos
toda
qualquer
vezes
tom
sim
duas
ir
alguns
algum
pareceu
continuou
madame
mal
profa
eram
feitiço
garotos
quê
vestes
aula
acha
prof
mim
luz
trevas
correndo
corredor
mãe
deve
verdade
corpo
vida
primeira
foram
moody
dobby
fudge
garota
trás
sob
demais
nome
seria
aquele
black
passar
homem
coisas
fim
castelo
aí
devia
passou
pelos
amigo
sair
quadribol
pudesse
pé
estivesse
murmurou
cama
podia
uns
força
quarto
dela
comentou
durante
tenha
percy_weasley
certo
ouvir
segundo
posso
esse
voltou
janela
pensar
qual
dudley_dursley
vernon_dursley
mesma
caminho
silêncio
todas
hoje
entrar
pedra
sonserina
diante
vão
favor
aconteceu
poder
trouxas
feitiços
berrou
deixou
tanto
los
salão
logo
sorriso
pessoa
diretor
escada
mundo
boa
baixo
braço
slughorn
contar
desde
finalmente
deixar
voltar
comensais
olho
pés
atenção
maior
enorme
alta
sangue
monstro
bruxa
repente
manhã
entrou
livro
parou
perto
temos
aquela
mulher
expressão
parede
nenhum
parte
entrada
sussurrou
este
conseguiu
estamos
nariz
ministro
última
luna
muita
minutos
tentou
feito
seja
continuava
jamais
andar
instante
falando
seguinte
tarde
dizendo
parecendo
crouch
vassoura
levantou
amigos
livros
imediatamente
velho
razão
dursley
quatro
precisa
riddle
escuro
num
pelas
exatamente
cinco
cedrico
jeito
sou
novo
dando
disso
menor
família
longe
pensou
meia
história
dedos
parece
palavras
elfo
gui
t
seguida
encontrar
chegou
floresta
água
varinhas
dementadores
cicatriz
braços
chegar
rua
horas
fazia
esta
ombro
fogo
carta
forte
acrescentou
faz
percebeu
porém
cadeira
conseguia
argus_filch
puxou
acabara
modo
dez
preciso
pareciam
única
lufa
pais
idéia
baixa
caso
coruja
caiu
pergaminho
ordem
testa
petunia_dursley
poção
dor
lados
pena
sentia
cozinha
s
lentamente
feliz
ouro
vira
tirou
apanhou
pôde
parar
fato
medo
diário
trabalho
houve
correu
gostaria
ouviram
obrigado
krum
principal
embaixo
hum
tentar
visto
fleur
chapéu
lareira
iria
sentindo
parado
peito
ligeiramente
exceto
lockhart
filho
passos
cobra
sensação
desapareceu
professores
teto
bateu
naquele
raiva
soltou
têm
levou
achou
tonks
fundo
campo
pensando
usar
tal
procurando
pernas
poções
passado
pensei
vi
contou
vê
querer
apontando
bolso
n
canto
coração
verde
aulas
difícil
bagman
sorrindo
goyle
repetiu
cho
forma
grandes
último
possível
simplesmente
comunal
diz
próprio
ponta
nosso
crabbe
comigo
vista
nossa
palavra
muitos
sentou
óculos
semana
invisibilidade
baixinho
senhora
cair
saíram
podem
sorte
dúvida
próximo
matar
vários
natal
sozinho
juntos
deixando
desta
agarrou
olivio_wood
céu
belatriz
portas
andando
segunda
ombros
outras
meus
provavelmente
própria
dino
saguão
dias
amiga
podemos
mente
lembrou
usando
continuar
apontou
lorde
ouvi
menino
artes
ouvido
edwiges
começar
único
numa
p
muitas
rápido
sentado
escrivaninha
morto
problema
acontecendo
taça
pontos
lágrimas
sentir
precisava
espada
fechou
erguendo
observando
completamente
defesa
resto
aparentemente
segundos
paredes
dragão
atirou
levar
rabicho
resposta
número
longo
nele
pomo
umas
vendo
grupo
lançou
ora
ajudar
